Date;Open;High;Low;Close;Adj Close;Volume
27.04.20;1.0824;1.0860;1.0812;1.0824;1.0824;0.0000
28.04.20;1.0827;1.0890;1.0811;1.0825;1.0825;0.0000
29.04.20;1.0832;1.0874;1.0832;1.0837;1.0837;0.0000
30.04.20;1.0877;1.0970;1.0836;1.0877;1.0877;0.0000
01.05.20;1.0945;1.1016;1.0935;1.0945;1.0945;0.0000
04.05.20;1.0957;1.0958;1.0901;1.0960;1.0960;0.0000
05.05.20;1.0905;1.0921;1.0827;1.0904;1.0904;0.0000
06.05.20;1.0840;1.0845;1.0784;1.0839;1.0839;0.0000
07.05.20;1.0801;1.0816;1.0768;1.0799;1.0799;0.0000
08.05.20;1.0837;1.0873;1.0816;1.0837;1.0837;0.0000
11.05.20;1.0840;1.0853;1.0804;1.0840;1.0840;0.0000
12.05.20;1.0809;1.0880;1.0785;1.0809;1.0809;0.0000
13.05.20;1.0846;1.0893;1.0831;1.0847;1.0847;0.0000
14.05.20;1.0822;1.0825;1.0777;1.0824;1.0824;0.0000
15.05.20;1.0806;1.0850;1.0791;1.0807;1.0807;0.0000
18.05.20;1.0819;1.0913;1.0801;1.0821;1.0821;0.0000
19.05.20;1.0916;1.0975;1.0903;1.0915;1.0915;0.0000
20.05.20;1.0930;1.0999;1.0929;1.0928;1.0928;0.0000
21.05.20;1.0979;1.1009;1.0939;1.0983;1.0983;0.0000
22.05.20;1.0952;1.0955;1.0886;1.0953;1.0953;0.0000
25.05.20;1.0909;1.0915;1.0872;1.0908;1.0908;0.0000
26.05.20;1.0901;1.0992;1.0898;1.0903;1.0903;0.0000
27.05.20;1.0981;1.1030;1.0937;1.0982;1.0982;0.0000
28.05.20;1.1015;1.1072;1.0993;1.1017;1.1017;0.0000
29.05.20;1.1078;1.1145;1.1070;1.1079;1.1079;0.0000
01.06.20;1.1115;1.1152;1.1101;1.1119;1.1119;0.0000
02.06.20;1.1126;1.1196;1.1116;1.1126;1.1126;0.0000
03.06.20;1.1186;1.1250;1.1181;1.1189;1.1189;0.0000
04.06.20;1.1237;1.1361;1.1196;1.1236;1.1236;0.0000
05.06.20;1.1337;1.1384;1.1286;1.1338;1.1338;0.0000
08.06.20;1.1316;1.1319;1.1270;1.1320;1.1320;0.0000
09.06.20;1.1303;1.1363;1.1244;1.1306;1.1306;0.0000
10.06.20;1.1334;1.1389;1.1334;1.1332;1.1332;0.0000
11.06.20;1.1369;1.1400;1.1326;1.1365;1.1365;0.0000
12.06.20;1.1289;1.1340;1.1235;1.1288;1.1288;0.0000
15.06.20;1.1254;1.1292;1.1229;1.1252;1.1252;0.0000
16.06.20;1.1338;1.1350;1.1232;1.1338;1.1338;0.0000
17.06.20;1.1265;1.1297;1.1210;1.1266;1.1266;0.0000
18.06.20;1.1241;1.1263;1.1205;1.1243;1.1243;0.0000
19.06.20;1.1207;1.1253;1.1174;1.1211;1.1211;0.0000
22.06.20;1.1179;1.1268;1.1176;1.1178;1.1178;0.0000
23.06.20;1.1277;1.1349;1.1234;1.1280;1.1280;0.0000
24.06.20;1.1314;1.1326;1.1260;1.1312;1.1312;0.0000
25.06.20;1.1251;1.1260;1.1191;1.1251;1.1251;0.0000
26.06.20;1.1221;1.1239;1.1198;1.1222;1.1222;0.0000
29.06.20;1.1224;1.1289;1.1221;1.1226;1.1226;0.0000
30.06.20;1.1247;1.1262;1.1192;1.1247;1.1247;0.0000
01.07.20;1.1234;1.1275;1.1189;1.1236;1.1236;0.0000
02.07.20;1.1253;1.1303;1.1228;1.1251;1.1251;0.0000
03.07.20;1.1240;1.1251;1.1221;1.1238;1.1238;0.0000
06.07.20;1.1249;1.1347;1.1249;1.1247;1.1247;0.0000
07.07.20;1.1310;1.1337;1.1260;1.1313;1.1313;0.0000
08.07.20;1.1273;1.1346;1.1265;1.1275;1.1275;0.0000
09.07.20;1.1338;1.1373;1.1288;1.1339;1.1339;0.0000
10.07.20;1.1289;1.1325;1.1257;1.1288;1.1288;0.0000
13.07.20;1.1309;1.1370;1.1305;1.1310;1.1310;0.0000
14.07.20;1.1346;1.1407;1.1326;1.1346;1.1346;0.0000
15.07.20;1.1411;1.1453;1.1394;1.1411;1.1411;0.0000
16.07.20;1.1417;1.1443;1.1380;1.1417;1.1417;0.0000
17.07.20;1.1387;1.1442;1.1379;1.1392;1.1392;0.0000
20.07.20;1.1440;1.1468;1.1405;1.1443;1.1443;0.0000
21.07.20;1.1458;1.1498;1.1426;1.1459;1.1459;0.0000
22.07.20;1.1535;1.1601;1.1509;1.1534;1.1534;0.0000
23.07.20;1.1567;1.1624;1.1542;1.1569;1.1569;0.0000
24.07.20;1.1595;1.1640;1.1582;1.1596;1.1596;0.0000
27.07.20;1.1653;1.1780;1.1653;1.1653;1.1653;0.0000
28.07.20;1.1767;1.1776;1.1701;1.1769;1.1769;0.0000
29.07.20;1.1721;1.1779;1.1715;1.1719;1.1719;0.0000
30.07.20;1.1787;1.1807;1.1733;1.1783;1.1783;0.0000
31.07.20;1.1874;1.1908;1.1803;1.1872;1.1872;0.0000
03.08.20;1.1784;1.1788;1.1701;1.1782;1.1782;0.0000
04.08.20;1.1761;1.1805;1.1724;1.1763;1.1763;0.0000
05.08.20;1.1815;1.1905;1.1800;1.1815;1.1815;0.0000
06.08.20;1.1874;1.1912;1.1821;1.1873;1.1873;0.0000
07.08.20;1.1875;1.1884;1.1757;1.1876;1.1876;0.0000
10.08.20;1.1782;1.1802;1.1743;1.1783;1.1783;0.0000
11.08.20;1.1738;1.1805;1.1723;1.1738;1.1738;0.0000
12.08.20;1.1740;1.1813;1.1713;1.1737;1.1737;0.0000
13.08.20;1.1796;1.1864;1.1795;1.1794;1.1794;0.0000
14.08.20;1.1819;1.1838;1.1785;1.1817;1.1817;0.0000
17.08.20;1.1850;1.1881;1.1830;1.1853;1.1853;0.0000
18.08.20;1.1879;1.1965;1.1875;1.1876;1.1876;0.0000
19.08.20;1.1947;1.1955;1.1893;1.1948;1.1948;0.0000
20.08.20;1.1842;1.1868;1.1807;1.1844;1.1844;0.0000
21.08.20;1.1871;1.1886;1.1755;1.1874;1.1874;0.0000
24.08.20;1.1799;1.1853;1.1786;1.1798;1.1798;0.0000
25.08.20;1.1795;1.1844;1.1785;1.1795;1.1795;0.0000
26.08.20;1.1833;1.1840;1.1776;1.1835;1.1835;0.0000
27.08.20;1.1840;1.1899;1.1766;1.1843;1.1843;0.0000
28.08.20;1.1820;1.1920;1.1812;1.1820;1.1820;0.0000
31.08.20;1.1917;1.1964;1.1885;1.1918;1.1918;0.0000
01.09.20;1.1939;1.2011;1.1937;1.1939;1.1939;0.0000
02.09.20;1.1923;1.1924;1.1824;1.1923;1.1923;0.0000
03.09.20;1.1846;1.1848;1.1790;1.1847;1.1847;0.0000
04.09.20;1.1844;1.1864;1.1782;1.1840;1.1840;0.0000
07.09.20;1.1837;1.1849;1.1814;1.1834;1.1834;0.0000
08.09.20;1.1819;1.1829;1.1767;1.1822;1.1822;0.0000
09.09.20;1.1769;1.1831;1.1754;1.1770;1.1770;0.0000
10.09.20;1.1806;1.1915;1.1803;1.1806;1.1806;0.0000
11.09.20;1.1826;1.1876;1.1826;1.1824;1.1824;0.0000
14.09.20;1.1844;1.1888;1.1833;1.1843;1.1843;0.0000
15.09.20;1.1867;1.1901;1.1841;1.1870;1.1870;0.0000
16.09.20;1.1843;1.1883;1.1815;1.1844;1.1844;0.0000
17.09.20;1.1804;1.1830;1.1742;1.1803;1.1803;0.0000
18.09.20;1.1853;1.1871;1.1831;1.1848;1.1848;0.0000
21.09.20;1.1846;1.1873;1.1733;1.1846;1.1846;0.0000
22.09.20;1.1762;1.1773;1.1693;1.1768;1.1768;0.0000
23.09.20;1.1708;1.1720;1.1665;1.1708;1.1708;0.0000
24.09.20;1.1662;1.1681;1.1630;1.1659;1.1659;0.0000
25.09.20;1.1674;1.1685;1.1613;1.1673;1.1673;0.0000
28.09.20;1.1635;1.1680;1.1617;1.1635;1.1635;0.0000
29.09.20;1.1678;1.1742;1.1667;1.1679;1.1679;0.0000
30.09.20;1.1743;1.1756;1.1686;1.1742;1.1742;0.0000
01.10.20;1.1724;1.1767;1.1718;1.1726;1.1726;0.0000
02.10.20;1.1744;1.1747;1.1697;1.1745;1.1745;0.0000
05.10.20;1.1722;1.1797;1.1719;1.1720;1.1720;0.0000
06.10.20;1.1788;1.1807;1.1767;1.1792;1.1792;0.0000
07.10.20;1.1737;1.1781;1.1725;1.1738;1.1738;0.0000
08.10.20;1.1766;1.1781;1.1735;1.1767;1.1767;0.0000
09.10.20;1.1767;1.1825;1.1759;1.1767;1.1767;0.0000
12.10.20;1.1813;1.1827;1.1788;1.1817;1.1817;0.0000
13.10.20;1.1814;1.1814;1.1736;1.1816;1.1816;0.0000
14.10.20;1.1744;1.1770;1.1722;1.1742;1.1742;0.0000
15.10.20;1.1748;1.1761;1.1690;1.1744;1.1744;0.0000
16.10.20;1.1706;1.1747;1.1695;1.1707;1.1707;0.0000
19.10.20;1.1716;1.1795;1.1705;1.1716;1.1716;0.0000
20.10.20;1.1768;1.1840;1.1763;1.1769;1.1769;0.0000
21.10.20;1.1829;1.1882;1.1829;1.1830;1.1830;0.0000
22.10.20;1.1851;1.1869;1.1813;1.1854;1.1854;0.0000
23.10.20;1.1814;1.1860;1.1788;1.1815;1.1815;0.0000
26.10.20;1.1848;1.1851;1.1804;1.1848;1.1848;0.0000
27.10.20;1.1809;1.1838;1.1799;1.1809;1.1809;0.0000
28.10.20;1.1782;1.1788;1.1719;1.1784;1.1784;0.0000
29.10.20;1.1747;1.1759;1.1656;1.1749;1.1749;0.0000
30.10.20;1.1677;1.1703;1.1643;1.1679;1.1679;0.0000
02.11.20;1.1643;1.1657;1.1624;1.1642;1.1642;0.0000
03.11.20;1.1643;1.1742;1.1638;1.1643;1.1643;0.0000
04.11.20;1.1765;1.1769;1.1608;1.1762;1.1762;0.0000
05.11.20;1.1730;1.1857;1.1713;1.1733;1.1733;0.0000
06.11.20;1.1814;1.1891;1.1796;1.1818;1.1818;0.0000
09.11.20;1.1893;1.1919;1.1797;1.1893;1.1893;0.0000
10.11.20;1.1823;1.1844;1.1781;1.1827;1.1827;0.0000
11.11.20;1.1820;1.1833;1.1747;1.1819;1.1819;0.0000
12.11.20;1.1779;1.1823;1.1760;1.1780;1.1780;0.0000
13.11.20;1.1805;1.1834;1.1800;1.1803;1.1803;0.0000
16.11.20;1.1844;1.1869;1.1815;1.1845;1.1845;0.0000
17.11.20;1.1860;1.1893;1.1846;1.1859;1.1859;0.0000
18.11.20;1.1864;1.1891;1.1851;1.1864;1.1864;0.0000
19.11.20;1.1843;1.1855;1.1817;1.1848;1.1848;0.0000
20.11.20;1.1867;1.1891;1.1852;1.1866;1.1866;0.0000
23.11.20;1.1865;1.1906;1.1803;1.1866;1.1866;0.0000
24.11.20;1.1842;1.1894;1.1839;1.1843;1.1843;0.0000
25.11.20;1.1901;1.1928;1.1883;1.1901;1.1901;0.0000
26.11.20;1.1918;1.1941;1.1887;1.1920;1.1920;0.0000
27.11.20;1.1912;1.1962;1.1911;1.1916;1.1916;0.0000
30.11.20;1.1971;1.2002;1.1944;1.1971;1.1971;0.0000
01.12.20;1.1938;1.2054;1.1936;1.1938;1.1938;0.0000
02.12.20;1.2070;1.2107;1.2041;1.2074;1.2074;0.0000
03.12.20;1.2113;1.2175;1.2102;1.2115;1.2115;0.0000
04.12.20;1.2145;1.2178;1.2134;1.2146;1.2146;0.0000
07.12.20;1.2121;1.2164;1.2081;1.2121;1.2121;0.0000
08.12.20;1.2109;1.2134;1.2097;1.2113;1.2113;0.0000
09.12.20;1.2110;1.2149;1.2074;1.2111;1.2111;0.0000
10.12.20;1.2082;1.2158;1.2080;1.2079;1.2079;0.0000
11.12.20;1.2143;1.2164;1.2108;1.2144;1.2144;0.0000
14.12.20;1.2134;1.2174;1.2118;1.2133;1.2133;0.0000
15.12.20;1.2149;1.2166;1.2127;1.2149;1.2149;0.0000
16.12.20;1.2154;1.2213;1.2147;1.2154;1.2154;0.0000
17.12.20;1.2197;1.2263;1.2192;1.2200;1.2200;0.0000
18.12.20;1.2262;1.2268;1.2227;1.2263;1.2263;0.0000
21.12.20;1.2211;1.2235;1.2131;1.2216;1.2216;0.0000
22.12.20;1.2238;1.2259;1.2166;1.2237;1.2237;0.0000
23.12.20;1.2186;1.2219;1.2158;1.2187;1.2187;0.0000
24.12.20;1.2194;1.2217;1.2179;1.2191;1.2191;0.0000
25.12.20;1.2185;1.2213;1.2167;1.2185;1.2185;0.0000
28.12.20;1.2207;1.2252;1.2184;1.2205;1.2205;0.0000
29.12.20;1.2220;1.2276;1.2220;1.2223;1.2223;0.0000
30.12.20;1.2253;1.2309;1.2252;1.2253;1.2253;0.0000
31.12.20;1.2299;1.2310;1.2223;1.2300;1.2300;0.0000
01.01.21;1.2173;1.2217;1.2135;1.2180;1.2180;0.0000
04.01.21;1.2249;1.2310;1.2171;1.2251;1.2251;0.0000
05.01.21;1.2253;1.2295;1.2250;1.2252;1.2252;0.0000
06.01.21;1.2299;1.2350;1.2267;1.2300;1.2300;0.0000
07.01.21;1.2338;1.2346;1.2247;1.2341;1.2341;0.0000
08.01.21;1.2269;1.2282;1.2215;1.2271;1.2271;0.0000
11.01.21;1.2188;1.2200;1.2135;1.2186;1.2186;0.0000
12.01.21;1.2162;1.2178;1.2139;1.2161;1.2161;0.0000
13.01.21;1.2209;1.2226;1.2165;1.2170;1.2170;0.0000
