;Date;Open;High;Low;Close;Adj Close;Volume;Action
27;2020-02-19;1.0795;1.0808;1.0784;1.0795;1.0795;0.0;hold
28;2020-02-20;1.081;1.0821;1.078;1.081;1.081;0.0;hold
29;2020-02-21;1.0788;1.0864;1.0788;1.0788;1.0788;0.0;hold
30;2020-02-24;1.0839;1.0864;1.0808;1.0839;1.0839;0.0;hold
31;2020-02-25;1.0849;1.0882;1.0832;1.0849;1.0849;0.0;hold
32;2020-02-26;1.0881;1.0904;1.0856;1.0882;1.0882;0.0;hold
33;2020-02-27;1.0886;1.1006;1.0886;1.0886;1.0886;0.0;hold
34;2020-02-28;1.0996;1.1053;1.0952;1.0997;1.0997;0.0;hold
35;2020-02-03;1.1053;1.1164;1.1037;1.1051;1.1051;0.0;hold
36;2020-03-03;1.1144;1.1208;1.1097;1.1144;1.1144;0.0;hold
37;2020-04-03;1.1177;1.1186;1.1097;1.1181;1.1181;0.0;hold
38;2020-05-03;1.1139;1.1204;1.1122;1.1139;1.1139;0.0;hold
39;2020-06-03;1.1224;1.1355;1.1214;1.1224;1.1224;0.0;hold
40;2020-09-03;1.1386;1.1496;1.1357;1.1386;1.1386;0.0;buy
41;2020-10-03;1.1397;1.1423;1.1334;1.1398;1.1398;0.0;hold
42;2020-11-03;1.1316;1.1366;1.1259;1.1317;1.1317;0.0;hold
43;2020-12-03;1.1261;1.1333;1.1081;1.1262;1.1262;0.0;hold
44;2020-03-13;1.1184;1.1221;1.1065;1.1185;1.1185;0.0;hold
45;2020-03-16;1.116;1.1235;1.1089;1.1155;1.1155;0.0;hold
46;2020-03-17;1.1163;1.1189;1.0958;1.1163;1.1163;0.0;hold
47;2020-03-18;1.1017;1.1045;1.0832;1.1016;1.1016;0.0;hold
48;2020-03-19;1.0943;1.0946;1.0698;1.0962;1.0962;0.0;hold
49;2020-03-20;1.0658;1.083;1.0655;1.0657;1.0657;0.0;sell
50;2020-03-23;1.0688;1.0825;1.066;1.0694;1.0694;0.0;hold
51;2020-03-24;1.0765;1.0889;1.0753;1.0765;1.0765;0.0;hold
52;2020-03-25;1.0801;1.085;1.077;1.0803;1.0803;0.0;hold
